user_id,user_first_touch_timestamp,email,updated
UA000000107338110,1593874163848994,blackburnjohn@gay.biz,2025-02-03T01:18:12.545+0000
UA000000107354520,1593876102569545,reedjennifer@freeman.com,2025-02-03T01:18:12.545+0000
UA000000107359655,1593876696866893,roberthubbard55@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107362264,1593876996344195,amandafrazier@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107362440,1593877015690335,laura65@garcia.biz,2025-02-03T01:18:12.545+0000
UA000000107363722,1593877154338249,tmiller67@yahoo.com,2025-02-03T01:18:12.545+0000
UA000000107367850,1593877599590013,xmartinez27@gmail.com,2025-02-03T01:18:12.545+0000
UA000000107370290,1593877869468334,uflynn@anderson.com,2025-02-03T01:18:12.545+0000
UA000000107371743,1593878036347579,nancyellis34@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107371836,1593878046932741,nporter32@gmail.com,2025-02-03T01:18:12.545+0000
UA000000107372842,1593878162052188,johnsontiffany9@yahoo.com,2025-02-03T01:18:12.545+0000
UA000000107373248,1593878202325470,kyletaylor@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107374597,1593878346590531,nalvarado76@gmail.com,2025-02-03T01:18:12.545+0000
UA000000107377002,1593878617459649,bergergabriel@taylor.com,2025-02-03T01:18:12.545+0000
UA000000107377542,1593878679086870,jonathandyer@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107377602,1593878686736308,janetallen@moore-acosta.com,2025-02-03T01:18:12.545+0000
UA000000107378066,1593878738403010,peterhodges@yahoo.com,2025-02-03T01:18:12.545+0000
UA000000107380134,1593878971294004,ydavis47@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107381302,1593879092723494,iguzman95@yahoo.com,2025-02-03T01:18:12.545+0000
UA000000107381817,1593879150228743,ellislisa@thompson-chandler.org,2025-02-03T01:18:12.545+0000
UA000000107381951,1593879164209130,eavila@baker-smith.com,2025-02-03T01:18:12.545+0000
UA000000107383420,1593879323432432,null,2025-02-03T01:18:12.545+0000
UA000000107383437,1593879324795270,null,2025-02-03T01:18:12.545+0000
UA000000107383471,1593879328837515,null,2025-02-03T01:18:12.545+0000
UA000000107383569,1593879340349155,null,2025-02-03T01:18:12.545+0000
UA000000107383640,1593879349302857,null,2025-02-03T01:18:12.545+0000
UA000000107383684,1593879354256821,null,2025-02-03T01:18:12.545+0000
UA000000107384160,1593879407637240,null,2025-02-03T01:18:12.545+0000
UA000000107384395,1593879432186825,null,2025-02-03T01:18:12.545+0000
UA000000107384470,1593879442144804,null,2025-02-03T01:18:12.545+0000
UA000000107384520,1593879447137299,williamherrera@dudley-torres.org,2025-02-03T01:18:12.545+0000
UA000000107384520,1593879447137299,null,2025-02-03T01:18:12.545+0000
UA000000107384572,1593879452200834,null,2025-02-03T01:18:12.545+0000
UA000000107384587,1593879453527638,null,2025-02-03T01:18:12.545+0000
UA000000107384593,1593879454385538,null,2025-02-03T01:18:12.545+0000
UA000000107384617,1593879457430567,null,2025-02-03T01:18:12.545+0000
UA000000107384764,1593879471049369,null,2025-02-03T01:18:12.545+0000
UA000000107384966,1593879490480251,null,2025-02-03T01:18:12.545+0000
UA000000107385035,1593879496927585,brett84@nguyen.com,2025-02-03T01:18:12.545+0000
UA000000107385035,1593879496927585,null,2025-02-03T01:18:12.545+0000
UA000000107385074,1593879501203857,null,2025-02-03T01:18:12.545+0000
UA000000107385075,1593879501480126,null,2025-02-03T01:18:12.545+0000
UA000000107385167,1593879513224485,null,2025-02-03T01:18:12.545+0000
UA000000107385277,1593879524935108,null,2025-02-03T01:18:12.545+0000
UA000000107385360,1593879534473516,null,2025-02-03T01:18:12.545+0000
UA000000107385374,1593879536359533,null,2025-02-03T01:18:12.545+0000
UA000000107385379,1593879536983818,null,2025-02-03T01:18:12.545+0000
UA000000107385467,1593879545852333,null,2025-02-03T01:18:12.545+0000
UA000000107385498,1593879549164860,null,2025-02-03T01:18:12.545+0000
UA000000107385525,1593879552381184,null,2025-02-03T01:18:12.545+0000
UA000000107385538,1593879554165566,null,2025-02-03T01:18:12.545+0000
UA000000107385552,1593879555120037,null,2025-02-03T01:18:12.545+0000
UA000000107385735,1593879573979670,epatrick@bennett.com,2025-02-03T01:18:12.545+0000
UA000000107385735,1593879573979670,null,2025-02-03T01:18:12.545+0000
UA000000107385736,1593879574086394,null,2025-02-03T01:18:12.545+0000
UA000000107385886,1593879587774706,null,2025-02-03T01:18:12.545+0000
UA000000107385891,1593879588084363,lallen@brown.biz,2025-02-03T01:18:12.545+0000
UA000000107385891,1593879588084363,null,2025-02-03T01:18:12.545+0000
UA000000107385910,1593879591306851,null,2025-02-03T01:18:12.545+0000
UA000000107386007,1593879601570208,null,2025-02-03T01:18:12.545+0000
UA000000107386246,1593879627940083,null,2025-02-03T01:18:12.545+0000
UA000000107386381,1593879642433693,null,2025-02-03T01:18:12.545+0000
UA000000107386398,1593879645701612,null,2025-02-03T01:18:12.545+0000
UA000000107386487,1593879654878580,null,2025-02-03T01:18:12.545+0000
UA000000107386571,1593879663527423,null,2025-02-03T01:18:12.545+0000
UA000000107386616,1593879668206653,null,2025-02-03T01:18:12.545+0000
UA000000107386620,1593879668454372,michaelwilliamson@johnson-brown.com,2025-02-03T01:18:12.545+0000
UA000000107386620,1593879668454372,null,2025-02-03T01:18:12.545+0000
UA000000107386750,1593879685678647,null,2025-02-03T01:18:12.545+0000
UA000000107386821,1593879695266575,null,2025-02-03T01:18:12.545+0000
UA000000107386838,1593879696869252,null,2025-02-03T01:18:12.545+0000
UA000000107387009,1593879715090144,null,2025-02-03T01:18:12.545+0000
UA000000107387080,1593879722638657,null,2025-02-03T01:18:12.545+0000
UA000000107387088,1593879723131424,null,2025-02-03T01:18:12.545+0000
UA000000107387301,1593879746782722,null,2025-02-03T01:18:12.545+0000
UA000000107387492,1593879768700344,null,2025-02-03T01:18:12.545+0000
UA000000107387497,1593879769327406,null,2025-02-03T01:18:12.545+0000
UA000000107387499,1593879769663277,null,2025-02-03T01:18:12.545+0000
UA000000107387538,1593879773689641,null,2025-02-03T01:18:12.545+0000
UA000000107387543,1593879774240269,null,2025-02-03T01:18:12.545+0000
UA000000107387565,1593879777625576,null,2025-02-03T01:18:12.545+0000
UA000000107387598,1593879782015219,null,2025-02-03T01:18:12.545+0000
UA000000107387671,1593879790089249,null,2025-02-03T01:18:12.545+0000
UA000000107387703,1593879792795228,null,2025-02-03T01:18:12.545+0000
UA000000107387724,1593879795206017,null,2025-02-03T01:18:12.545+0000
UA000000107387734,1593879796291682,null,2025-02-03T01:18:12.545+0000
UA000000107387751,1593879798315168,null,2025-02-03T01:18:12.545+0000
UA000000107387780,1593879801192563,null,2025-02-03T01:18:12.545+0000
UA000000107387792,1593879803180012,null,2025-02-03T01:18:12.545+0000
UA000000107387840,1593879807489992,null,2025-02-03T01:18:12.545+0000
UA000000107387871,1593879811686726,null,2025-02-03T01:18:12.545+0000
UA000000107387989,1593879823233655,null,2025-02-03T01:18:12.545+0000
UA000000107388221,1593879847713441,derrickmichael@hotmail.com,2025-02-03T01:18:12.545+0000
UA000000107388221,1593879847713441,null,2025-02-03T01:18:12.545+0000
UA000000107388271,1593879852666573,null,2025-02-03T01:18:12.545+0000
UA000000107388507,1593879876875165,null,2025-02-03T01:18:12.545+0000
UA000000107388510,1593879877687359,null,2025-02-03T01:18:12.545+0000
UA000000107388602,1593879887602867,sylvia81@ellis.com,2025-02-03T01:18:12.545+0000
UA000000107388602,1593879887602867,null,2025-02-03T01:18:12.545+0000
UA000000107388624,1593879889679668,null,2025-02-03T01:18:12.545+0000
UA000000107388744,1593879904716946,null,2025-02-03T01:18:12.545+0000
UA000000107388777,1593879908456273,null,2025-02-03T01:18:12.545+0000
UA000000107388949,1593879927662729,dawnanderson@bush.com,2025-02-03T01:18:12.545+0000
UA000000107388949,1593879927662729,null,2025-02-03T01:18:12.545+0000
UA000000107388952,1593879927821763,null,2025-02-03T01:18:12.545+0000
UA000000107388957,1593879928308206,null,2025-02-03T01:18:12.545+0000
UA000000107389020,1593879933665966,null,2025-02-03T01:18:12.545+0000
UA000000107389051,1593879936634741,null,2025-02-03T01:18:12.545+0000
UA000000107389053,1593879936686872,robert34@gibson-collins.biz,2025-02-03T01:18:12.545+0000
UA000000107389053,1593879936686872,null,2025-02-03T01:18:12.545+0000
UA000000107389162,1593879949515360,null,2025-02-03T01:18:12.545+0000
